date,et,lt,lv
2020-01-03,0,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,0
2020-01-10,0,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,0,0
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,1,0
2020-03-25,0,2,0
2020-03-26,0,3,0
2020-03-27,0,4,0
2020-03-28,0,4,0
2020-03-29,73,4,0
2020-03-30,73,4,0
2020-03-31,73,4,0
2020-04-01,73,6,0
2020-04-02,73,6,0
2020-04-03,73,6,0
2020-04-04,73,7,0
2020-04-05,89,8,2
2020-04-06,89,10,2
2020-04-07,89,11,2
2020-04-08,89,11,2
2020-04-09,89,11,2
2020-04-10,89,12,2
2020-04-11,89,13,2
2020-04-12,98,14,7
2020-04-13,98,15,7
2020-04-14,98,16,7
2020-04-15,98,20,7
2020-04-16,98,20,7
2020-04-17,98,21,7
2020-04-18,98,22,7
2020-04-19,112,23,8
2020-04-20,112,26,8
2020-04-21,112,26,8
2020-04-22,112,27,8
2020-04-23,112,27,8
2020-04-24,112,28,8
2020-04-25,112,29,8
2020-04-26,121,31,13
2020-04-27,121,32,13
2020-04-28,121,32,13
2020-04-29,121,32,13
2020-04-30,121,32,13
2020-05-01,121,32,13
2020-05-02,121,33,13
2020-05-03,125,33,16
2020-05-04,125,33,16
2020-05-05,125,33,16
2020-05-06,125,34,16
2020-05-07,125,35,16
2020-05-08,125,35,16
2020-05-09,125,35,16
2020-05-10,129,36,18
2020-05-11,129,36,18
2020-05-12,129,39,18
2020-05-13,129,39,18
2020-05-14,129,39,18
2020-05-15,129,41,18
2020-05-16,129,42,18
2020-05-17,131,43,20
2020-05-18,131,45,20
2020-05-19,131,45,20
2020-05-20,131,46,20
2020-05-21,131,46,20
2020-05-22,131,46,20
2020-05-23,131,47,20
2020-05-24,132,48,23
2020-05-25,132,49,23
2020-05-26,132,51,23
2020-05-27,132,51,23
2020-05-28,132,52,23
2020-05-29,132,52,23
2020-05-30,132,54,23
2020-05-31,135,54,25
2020-06-01,135,55,25
2020-06-02,135,55,25
2020-06-03,135,55,25
2020-06-04,135,55,25
2020-06-05,135,55,25
2020-06-06,135,55,25
2020-06-07,136,56,25
2020-06-08,136,58,25
2020-06-09,136,58,25
2020-06-10,136,58,25
2020-06-11,136,58,25
2020-06-12,136,59,25
2020-06-13,136,59,25
2020-06-14,137,59,28
2020-06-15,137,60,28
2020-06-16,137,60,28
2020-06-17,137,60,28
2020-06-18,137,60,28
2020-06-19,137,60,28
2020-06-20,137,60,28
2020-06-21,137,60,30
2020-06-22,137,60,30
2020-06-23,137,61,30
2020-06-24,137,61,30
2020-06-25,137,61,30
2020-06-26,137,61,30
2020-06-27,137,61,30
2020-06-28,137,61,30
2020-06-29,137,61,30
2020-06-30,137,61,30
2020-07-01,137,61,30
2020-07-02,137,62,30
2020-07-03,137,62,30
2020-07-04,137,62,30
2020-07-05,137,62,30
2020-07-06,137,62,30
2020-07-07,137,62,30
2020-07-08,137,62,30
2020-07-09,137,62,30
2020-07-10,137,62,30
2020-07-11,137,62,30
2020-07-12,137,62,31
2020-07-13,137,62,31
2020-07-14,137,62,31
2020-07-15,137,62,31
2020-07-16,137,62,31
2020-07-17,137,62,31
2020-07-18,137,63,31
2020-07-19,137,63,31
2020-07-20,137,63,31
2020-07-21,137,63,31
2020-07-22,137,63,31
2020-07-23,137,63,31
2020-07-24,137,63,31
2020-07-25,137,63,31
2020-07-26,137,63,31
2020-07-27,137,63,31
2020-07-28,137,63,31
2020-07-29,137,63,31
2020-07-30,137,63,31
2020-07-31,137,63,31
2020-08-01,137,63,31
2020-08-02,137,63,32
2020-08-03,137,63,32
2020-08-04,137,63,32
2020-08-05,137,64,32
2020-08-06,137,64,32
2020-08-07,137,64,32
2020-08-08,137,64,32
2020-08-09,137,64,32
2020-08-10,137,64,32
2020-08-11,137,64,32
2020-08-12,137,64,32
2020-08-13,137,64,32
2020-08-14,137,64,32
2020-08-15,137,64,32
2020-08-16,137,64,32
2020-08-17,137,64,32
2020-08-18,137,64,32
2020-08-19,137,64,32
2020-08-20,137,65,32
2020-08-21,137,66,32
2020-08-22,137,67,32
2020-08-23,138,67,33
2020-08-24,138,68,33
2020-08-25,138,68,33
2020-08-26,138,68,33
2020-08-27,138,68,33
2020-08-28,138,69,33
2020-08-29,138,69,33
2020-08-30,138,69,34
2020-08-31,138,69,34
2020-09-01,138,69,34
2020-09-02,138,69,34
2020-09-03,138,69,34
2020-09-04,138,69,34
2020-09-05,138,69,34
2020-09-06,138,69,35
2020-09-07,138,69,35
2020-09-08,138,69,35
2020-09-09,138,69,35
2020-09-10,138,69,35
2020-09-11,138,70,35
2020-09-12,138,70,35
2020-09-13,138,71,35
2020-09-14,138,71,35
2020-09-15,138,71,35
2020-09-16,138,71,35
2020-09-17,138,71,35
2020-09-18,138,71,35
2020-09-19,138,71,35
2020-09-20,138,71,36
2020-09-21,138,71,36
2020-09-22,138,71,36
2020-09-23,138,72,36
2020-09-24,138,74,36
2020-09-25,138,74,36
2020-09-26,138,74,36
2020-09-27,138,76,36
2020-09-28,138,77,36
2020-09-29,138,77,36
2020-09-30,138,77,36
2020-10-01,138,77,36
2020-10-02,138,78,36
2020-10-03,138,80,36
2020-10-04,141,81,39
2020-10-05,141,82,39
2020-10-06,141,84,39
2020-10-07,141,85,39
2020-10-08,141,86,39
2020-10-09,141,87,39
2020-10-10,141,87,39
2020-10-11,142,89,40
2020-10-12,142,89,40
2020-10-13,142,90,40
2020-10-14,142,94,40
2020-10-15,142,94,40
2020-10-16,142,97,40
2020-10-17,142,98,40
2020-10-18,142,100,44
2020-10-19,142,102,44
2020-10-20,142,105,44
2020-10-21,142,108,44
2020-10-22,142,112,44
2020-10-23,142,115,44
2020-10-24,142,116,44
2020-10-25,147,122,60
2020-10-26,147,124,60
2020-10-27,147,129,60
2020-10-28,147,134,60
2020-10-29,147,138,60
2020-10-30,147,144,60
2020-10-31,147,152,60
2020-11-01,147,155,80
2020-11-02,147,159,80
2020-11-03,147,170,80
2020-11-04,147,176,80
2020-11-05,147,178,80
2020-11-06,147,185,80
2020-11-07,147,195,80
2020-11-08,150,204,105
2020-11-09,150,212,105
2020-11-10,150,229,105
2020-11-11,150,239,105
2020-11-12,150,250,105
2020-11-13,150,264,105
2020-11-14,150,281,105
2020-11-15,155,295,135
2020-11-16,155,310,135
2020-11-17,155,330,135
2020-11-18,155,350,135
2020-11-19,155,373,135
2020-11-20,155,392,135
2020-11-21,155,412,135
2020-11-22,165,439,175
2020-11-23,165,459,175
2020-11-24,165,477,175
2020-11-25,165,498,175
2020-11-26,165,525,175
2020-11-27,165,548,175
2020-11-28,165,570,175
2020-11-29,189,592,233
2020-11-30,189,619,233
2020-12-01,189,640,233
2020-12-02,189,674,233
2020-12-03,189,693,233
2020-12-04,189,730,233
2020-12-05,189,764,233
2020-12-06,205,788,296
2020-12-07,205,832,296
2020-12-08,205,857,296
2020-12-09,205,884,296
2020-12-10,205,902,296
2020-12-11,205,937,296
2020-12-12,205,986,296
2020-12-13,224,1040,399
2020-12-14,224,1069,399
2020-12-15,224,1114,399
2020-12-16,224,1139,399
2020-12-17,224,1182,399
2020-12-18,224,1222,399
2020-12-19,224,1268,399
2020-12-20,252,1296,505
2020-12-21,252,1342,505
2020-12-22,252,1398,505
2020-12-23,252,1433,505
2020-12-24,252,1469,505
2020-12-25,252,1513,505
2020-12-26,252,1575,505
2020-12-27,284,1617,632
2020-12-28,284,1656,632
2020-12-29,284,1700,632
2020-12-30,284,1744,632
2020-12-31,284,1800,632
2021-01-01,284,1841,632
2021-01-02,284,1892,632
2021-01-03,323,1943,728
2021-01-04,323,1981,728
2021-01-05,323,2021,728
2021-01-06,323,2056,728
2021-01-07,323,2099,728
2021-01-08,323,2140,728
2021-01-09,323,2183,728
2021-01-10,357,2212,917
2021-01-11,357,2255,917
2021-01-12,357,2289,917
2021-01-13,357,2327,917
2021-01-14,357,2360,917
2021-01-15,357,2395,917
2021-01-16,357,2429,917
2021-01-17,405,2460,1057
2021-01-18,405,2487,1057
2021-01-19,405,2510,1057
2021-01-20,405,2535,1057
2021-01-21,405,2573,1057
2021-01-22,405,2609,1057
2021-01-23,405,2643,1057
2021-01-24,452,2666,1208
2021-01-25,452,2686,1208
2021-01-26,452,2703,1208
2021-01-27,452,2732,1208
2021-01-28,452,2761,1208
2021-01-29,452,2778,1208
2021-01-30,452,2804,1208
2021-01-31,494,2822,1363
2021-02-01,494,2844,1363
2021-02-02,494,2864,1363
2021-02-03,494,2883,1363
2021-02-04,494,2898,1363
2021-02-05,494,2922,1363
2021-02-06,494,2939,1363
2021-02-07,536,2955,1474
2021-02-08,536,2972,1474
2021-02-09,536,2988,1474
2021-02-10,536,3003,1474
2021-02-11,536,3026,1474
2021-02-12,536,3047,1474
2021-02-13,536,3064,1474
2021-02-14,572,3080,1573
2021-02-15,572,3092,1573
2021-02-16,572,3105,1573
2021-02-17,572,3125,1573
2021-02-18,572,3138,1573
2021-02-19,572,3153,1573
2021-02-20,572,3169,1573
2021-02-21,610,3181,1680
2021-02-22,610,3189,1680
2021-02-23,610,3197,1680
2021-02-24,610,3210,1680
2021-02-25,610,3219,1680
2021-02-26,610,3235,1680
2021-02-27,610,3245,1680
2021-02-28,667,3258,1768
2021-03-01,667,3265,1768
2021-03-02,667,3276,1768
2021-03-03,667,3291,1768
2021-03-04,667,3303,1768
2021-03-05,667,3314,1768
2021-03-06,667,3325,1768
2021-03-07,733,3331,1846
2021-03-08,733,3340,1846
2021-03-09,733,3346,1846
2021-03-10,733,3357,1846
2021-03-11,733,3370,1846
2021-03-12,733,3379,1846
2021-03-13,733,3393,1846
2021-03-14,792,3402,1909
2021-03-15,792,3414,1909
2021-03-16,792,3423,1909
2021-03-17,792,3435,1909
2021-03-18,792,3446,1909
2021-03-19,792,3454,1909
2021-03-20,792,3467,1909
2021-03-21,861,3480,1971
2021-03-22,861,3490,1971
2021-03-23,861,3502,1971
2021-03-24,861,3517,1971
2021-03-25,861,3523,1971
2021-03-26,861,3529,1971
2021-03-27,861,3538,1971
2021-03-28,943,3552,2017
2021-03-29,943,3562,2017
2021-03-30,943,3568,2017
2021-03-31,943,3576,2017
2021-04-01,943,3585,2017
2021-04-02,943,3596,2017
2021-04-03,943,3604,2017
2021-04-04,946,3612,2088
2021-04-05,946,3618,2088
2021-04-06,946,3626,2088
2021-04-07,946,3639,2088
2021-04-08,946,3649,2088
2021-04-09,946,3666,2088
2021-04-10,946,3680,2088
2021-04-11,1032,3695,2144
2021-04-12,1032,3705,2144
2021-04-13,1032,3719,2144
2021-04-14,1032,3726,2144
2021-04-15,1032,3737,2144
2021-04-16,1032,3745,2144
2021-04-17,1032,3760,2144
2021-04-18,1092,3766,2212
2021-04-19,1092,3781,2212
2021-04-20,1092,3793,2212
2021-04-21,1092,3809,2212
2021-04-22,1092,3824,2212
2021-04-23,1092,3840,2212
2021-04-24,1092,3849,2212
2021-04-25,1141,3858,2264
2021-04-26,1141,3869,2264
2021-04-27,1141,3888,2264
2021-04-28,1141,3906,2264
2021-04-29,1141,3921,2264
2021-04-30,1141,3931,2264
2021-05-01,1141,3942,2264
2021-05-02,1167,3955,2331
2021-05-03,1167,3964,2331
2021-05-04,1167,3981,2331
2021-05-05,1167,3997,2331
2021-05-06,1167,4007,2331
2021-05-07,1167,4023,2331
2021-05-08,1167,4029,2331
2021-05-09,1198,4039,2381
2021-05-10,1198,4052,2381
2021-05-11,1198,4061,2381
2021-05-12,1198,4067,2381
2021-05-13,1198,4076,2381
2021-05-14,1198,4089,2381
2021-05-15,1198,4092,2381
2021-05-16,1219,4108,2447
2021-05-17,1219,4119,2447
2021-05-18,1219,4130,2447
2021-05-19,1219,4143,2447
2021-05-20,1219,4159,2447
2021-05-21,1219,4170,2447
2021-05-22,1219,4179,2447
2021-05-23,1233,4193,2512
2021-05-24,1233,4207,2512
2021-05-25,1233,4217,2512
2021-05-26,1233,4226,2512
2021-05-27,1233,4234,2512
2021-05-28,1233,4241,2512
2021-05-29,1233,4253,2512
2021-05-30,1246,4265,2559
2021-05-31,1246,4275,2559
2021-06-01,1246,4283,2559
2021-06-02,1246,4287,2559
2021-06-03,1246,4293,2559
2021-06-04,1246,4301,2559
2021-06-05,1246,4305,2559
2021-06-06,1257,4310,2596
2021-06-07,1257,4313,2596
2021-06-08,1257,4321,2596
2021-06-09,1257,4326,2596
2021-06-10,1257,4330,2596
2021-06-11,1257,4334,2596
2021-06-12,1257,4339,2596
2021-06-13,1259,4342,2635
2021-06-14,1259,4347,2635
2021-06-15,1259,4352,2635
2021-06-16,1259,4356,2635
2021-06-17,1259,4362,2635
2021-06-18,1259,4362,2635
2021-06-19,1259,4366,2635
2021-06-20,1261,4368,2659
2021-06-21,1261,4370,2659
2021-06-22,1261,4374,2659
2021-06-23,1261,4374,2659
2021-06-24,1261,4377,2659
2021-06-25,1261,4380,2659
2021-06-26,1261,4380,2659
2021-06-27,1262,4382,2683
2021-06-28,1262,4382,2683
2021-06-29,1262,4384,2683
2021-06-30,1262,4384,2683
2021-07-01,1262,4386,2683
2021-07-02,1262,4387,2683
2021-07-03,1262,4389,2683
2021-07-04,1263,4390,2699
2021-07-05,1263,4392,2699
2021-07-06,1263,4395,2699
2021-07-07,1263,4396,2699
2021-07-08,1263,4396,2699
2021-07-09,1263,4396,2699
2021-07-10,1263,4397,2699
2021-07-11,1263,4397,2701
2021-07-12,1263,4400,2701
2021-07-13,1263,4401,2701
2021-07-14,1263,4402,2701
2021-07-15,1263,4403,2701
2021-07-16,1263,4403,2701
2021-07-17,1263,4403,2701
2021-07-18,1264,4403,2710
2021-07-19,1264,4403,2710
2021-07-20,1264,4403,2710
2021-07-21,1264,4404,2710
2021-07-22,1264,4405,2710
2021-07-23,1264,4405,2710
2021-07-24,1264,4405,2710
2021-07-25,1264,4405,2713
2021-07-26,1264,4405,2713
2021-07-27,1264,4406,2713
2021-07-28,1264,4406,2713
2021-07-29,1264,4407,2713
2021-07-30,1264,4408,2713
2021-07-31,1264,4409,2713
2021-08-01,1265,4411,2716
2021-08-02,1265,4412,2716
2021-08-03,1265,4414,2716
2021-08-04,1265,4417,2716
2021-08-05,1265,4418,2716
2021-08-06,1265,4418,2716
2021-08-07,1265,4419,2716
2021-08-08,1269,4421,2720
2021-08-09,1269,4425,2720
2021-08-10,1269,4427,2720
2021-08-11,1269,4431,2720
2021-08-12,1269,4433,2720
